Mon Dec  8 02:05:24 PM EST 2025 | CPU Load: 52.4% | Temp: 
Mon Dec  8 02:07:14 PM EST 2025 | CPU Load: 35.6% | Temp: N/A
Mon Dec  8 02:14:12 PM EST 2025 | CPU Load: 52.3% | Temp: N/A
Mon Dec  8 02:14:12 PM EST 2025 | Load%: 36 | AvgMHz: 0 | PowerW: N/A
Mon Dec  8 02:18:10 PM EST 2025 | CPU Load: 27.1% | Temp: N/A
Mon Dec  8 02:21:28 PM EST 2025 | CPU Load: 68.4% | Temp: N/A
Wed Dec 17 04:29:16 AM EST 2025 | CPU Load: 53.5% | Temp: N/A
Wed Dec 17 04:29:37 AM EST 2025 | CPU Load: 0% | Temp: N/A
Wed Dec 17 04:29:57 AM EST 2025 | CPU Load: 27.3% | Temp: N/A
Wed Dec 17 04:30:06 AM EST 2025 | CPU Load: 4.4% | Temp: N/A
Wed Dec 17 04:30:08 AM EST 2025 | CPU Load: 2.4% | Temp: N/A
Wed Dec 17 04:30:13 AM EST 2025 | CPU Load: 4.6% | Temp: N/A
Wed Dec 17 04:30:18 AM EST 2025 | CPU Load: 0% | Temp: N/A
Wed Dec 17 04:30:23 AM EST 2025 | CPU Load: 4.7% | Temp: N/A
Wed Dec 17 04:30:28 AM EST 2025 | CPU Load: 7.2% | Temp: N/A
Wed Dec 17 04:30:33 AM EST 2025 | CPU Load: 21.3% | Temp: N/A
Wed Dec 17 04:30:37 AM EST 2025 | CPU Load: 2.3% | Temp: N/A
Wed Dec 17 04:30:38 AM EST 2025 | CPU Load: 6.6% | Temp: N/A
Wed Dec 17 04:30:43 AM EST 2025 | CPU Load: 2.3% | Temp: N/A
Wed Dec 17 04:30:48 AM EST 2025 | CPU Load: 13.6% | Temp: N/A
Wed Dec 17 04:30:53 AM EST 2025 | CPU Load: 9.6% | Temp: N/A
Wed Dec 17 04:30:58 AM EST 2025 | CPU Load: 7.3% | Temp: N/A
Wed Dec 17 04:31:03 AM EST 2025 | CPU Load: 9.4% | Temp: N/A
Wed Dec 17 04:31:08 AM EST 2025 | CPU Load: 31.8% | Temp: N/A
Wed Dec 17 04:31:13 AM EST 2025 | CPU Load: 2.4% | Temp: N/A
Wed Dec 17 04:31:18 AM EST 2025 | CPU Load: 2.4% | Temp: N/A
Wed Dec 17 04:31:35 AM EST 2025 | CPU Load: 4.8% | Temp: N/A
Wed Dec 17 04:31:37 AM EST 2025 | CPU Load: 16.6% | Temp: N/A
Wed Dec 17 04:31:37 AM EST 2025 | CPU Load: 8.4% | Temp: N/A
Wed Dec 17 04:31:43 AM EST 2025 | CPU Load: 26.2% | Temp: N/A
Wed Dec 17 04:31:48 AM EST 2025 | CPU Load: 9.7% | Temp: N/A
Wed Dec 17 04:31:53 AM EST 2025 | CPU Load: 4.6% | Temp: N/A
Wed Dec 17 04:31:58 AM EST 2025 | CPU Load: 6.5% | Temp: N/A
Wed Dec 17 04:32:03 AM EST 2025 | CPU Load: 2.3% | Temp: N/A
Wed Dec 17 04:32:08 AM EST 2025 | CPU Load: 11.1% | Temp: N/A
Wed Dec 17 04:32:13 AM EST 2025 | CPU Load: 36.4% | Temp: N/A
Wed Dec 17 04:32:18 AM EST 2025 | CPU Load: 6.3% | Temp: N/A
Wed Dec 17 04:32:23 AM EST 2025 | CPU Load: 7% | Temp: N/A
Wed Dec 17 04:32:28 AM EST 2025 | CPU Load: 7.2% | Temp: N/A
Wed Dec 17 04:32:33 AM EST 2025 | CPU Load: 29.5% | Temp: N/A
Wed Dec 17 04:32:37 AM EST 2025 | CPU Load: 14.6% | Temp: N/A
Wed Dec 17 04:32:38 AM EST 2025 | CPU Load: 48.9% | Temp: N/A
Wed Dec 17 04:33:16 AM EST 2025 | CPU Load: 15.5% | Temp: N/A
Wed Dec 17 04:33:37 AM EST 2025 | CPU Load: 14.3% | Temp: N/A
Wed Dec 17 04:34:16 AM EST 2025 | CPU Load: 4.4% | Temp: N/A
Wed Dec 17 04:34:37 AM EST 2025 | CPU Load: 2.5% | Temp: N/A
Wed Dec 17 04:35:16 AM EST 2025 | CPU Load: 2.2% | Temp: N/A
Wed Dec 17 04:35:37 AM EST 2025 | CPU Load: 6.5% | Temp: N/A
Wed Dec 17 04:36:16 AM EST 2025 | CPU Load: 24.4% | Temp: N/A
Wed Dec 17 04:36:37 AM EST 2025 | CPU Load: 9.5% | Temp: N/A
Wed Dec 17 04:37:16 AM EST 2025 | CPU Load: 11.6% | Temp: N/A
Wed Dec 17 04:37:37 AM EST 2025 | CPU Load: 4.8% | Temp: N/A
